iter	Passed	Remaining
612	13594	8582
613	13610	8556
614	13625	8529
615	13642	8504
616	13664	8482
617	13681	8456
618	13697	8431
619	13715	8406
620	13732	8381
621	13748	8355
622	13767	8331
623	13784	8306
624	13804	8282
625	13822	8258
626	13839	8233
627	13860	8210
628	13879	8186
629	13898	8162
630	13918	8139
631	13938	8115
632	13955	8091
633	13975	8067
634	13991	8042
635	14008	8017
636	14044	8003
637	14065	7980
638	14085	7957
639	14104	7933
640	14136	7917
641	14167	7900
642	14198	7883
643	14213	7857
644	14229	7831
645	14260	7814
646	14278	7790
647	14295	7765
648	14314	7741
649	14330	7716
650	14353	7694
651	14372	7671
652	14389	7646
653	14416	7627
654	14465	7619
655	14497	7602
656	14515	7578
657	14531	7552
658	14548	7527
659	14566	7503
660	14584	7479
661	14603	7456
662	14627	7435
663	14658	7417
664	14706	7408
665	14723	7384
666	14741	7359
667	14757	7334
668	14794	7319
669	14826	7302
670	14857	7284
671	14874	7260
672	14889	7234
673	14907	7210
674	14925	7186
675	14942	7161
676	14960	7137
677	15006	7126
678	15037	7108
679	15052	7083
680	15068	7058
681	15101	7041
682	15118	7016
683	15134	6992
684	15152	6967
685	15173	6945
686	15204	6927
687	15234	6908
688	15250	6883
689	15265	6858
690	15281	6833
691	15317	6817
692	15336	6794
693	15353	6769
694	15371	6745
695	15403	6728
696	15420	6703
697	15438	6679
698	15469	6661
699	15500	6643
700	15516	6618
701	15534	6594
702	15555	6571
703	15572	6547
704	15588	6522
705	15605	6498
706	15622	6474
707	15640	6450
708	15657	6426
709	15675	6402
710	15694	6379
711	15712	6355
712	15730	6331
713	15748	6308
714	15766	6284
715	15784	6260
716	15804	6237
717	15822	6214
718	15842	6191
719	15859	6167
720	15879	6144
721	15900	6122
722	15918	6098
723	15937	6075
724	15955	6051
725	15973	6028
726	15992	6005
727	16023	5986
728	16054	5968
729	16073	5945
730	16092	5921
731	16109	5898
732	16141	5879
733	16171	5860
734	16203	5841
735	16234	5823
736	16267	5805
737	16288	5782
738	16305	5758
739	16320	5734
740	16337	5710
741	16353	5686
742	16369	5662
743	16399	5642
744	16432	5624
745	16448	5600
746	16467	5577
747	16485	5554
748	16503	5530
749	16519	5506
750	16537	5483
751	16556	5460
752	16576	5437
753	16594	5414
754	16611	5390
755	16628	5367
756	16648	5344
757	16669	5321
758	16689	5299
759	16710	5276
760	16729	5253
761	16746	5230
762	16766	5208
763	16786	5185
764	16803	5161
765	16820	5138
766	16838	5115
767	16859	5092
768	16881	5071
769	16899	5047
770	16916	5024
771	16935	5001
772	16953	4978
773	16970	4955
774	16989	4932
775	17025	4914
776	17047	4892
777	17065	4869
778	17082	4846
779	17123	4829
780	17154	4810
781	17201	4795
782	17232	4775
783	17266	4757
784	17287	4734
785	17303	4711
786	17318	4687
787	17339	4665
788	17370	4645
789	17385	4621
790	17417	4602
791	17447	4582
792	17463	4558
793	17480	4535
794	17498	4512
795	17517	4489
796	17533	4465
797	17550	4442
798	17567	4419
799	17584	4396
800	17602	4373
801	17621	4350
802	17638	4327
803	17656	4304
804	17673	4281
805	17693	4258
806	17711	4235
807	17729	4212
808	17746	4189
809	17763	4166
810	17781	4143
811	17801	4121
812	17819	4098
813	17837	4075
814	17855	4053
815	17874	4030
816	17895	4008
817	17914	3985
818	17960	3969
819	17991	3949
820	18008	3926
821	18026	3903
822	18044	3880
823	18062	3858
824	18079	3835
825	18098	3812
826	18125	3791
827	18156	3771
828	18187	3751
829	18201	3728
830	18217	3704
831	18249	3684
832	18280	3664
833	18300	3642
834	18316	3619
835	18333	3596
836	18356	3574
837	18387	3554
838	18418	3534
839	18449	3514
840	18464	3490
841	18480	3467
842	18499	3445
843	18518	3422
844	18535	3399
845	18551	3377
846	18572	3354
847	18588	3331
848	18605	3309
849	18623	3286
850	18642	3264
851	18661	3241
852	18680	3219
853	18700	3196
854	18720	3174
855	18738	3152
856	18756	3129
857	18774	3107
858	18793	3084
859	18814	3062
860	18830	3040
861	18847	3017
862	18868	2995
863	18890	2973
864	18908	2951
865	18927	2928
866	18948	2906
867	18993	2888
868	19009	2865
869	19040	2845
870	19057	2822
871	19077	2800
872	19094	2777
873	19110	2755
874	19125	2732
875	19142	2709
876	19173	2689
877	19219	2670
878	19235	2647
879	19267	2627
880	19284	2604
881	19301	2582
882	19317	2559
883	19340	2537
884	19371	2517
885	19388	2494
886	19417	2473
887	19433	2451
888	19464	2430
889	19486	2408
890	19502	2385
891	19520	2363
892	19536	2340
893	19553	2318
894	19570	2296
895	19589	2273
896	19605	2251
897	19624	2229
898	19642	2206
899	19661	2184
900	19681	2162
901	19701	2140
902	19718	2118
903	19736	2095
904	19754	2073
905	19773	2051
906	19793	2029
907	19811	2007
908	19830	1985
909	19852	1963
910	19872	1941
911	19890	1919
912	19910	1897
913	19928	1875
914	19946	1852
915	19964	1830
916	19994	1809
917	20042	1790
918	20076	1769
919	20093	1747
920	20109	1724
921	20128	1702
922	20159	1681
923	20194	1661
924	20238	1640
925	20257	1618
926	20276	1596
927	20293	1574
928	20325	1553
929	20356	1532
930	20387	1510
931	20418	1489
932	20449	1468
933	20470	1446
934	20488	1424
935	20506	1402
936	20522	1379
937	20540	1357
938	20555	1335
939	20572	1313
940	20588	1290
941	20606	1268
942	20624	1246
943	20641	1224
944	20658	1202
945	20676	1180
946	20693	1158
947	20710	1136
948	20730	1114
949	20747	1091
950	20764	1069
951	20782	1047
952	20800	1025
953	20819	1003
954	20837	981
955	20858	960
956	20876	938
957	20895	916
958	20915	894
959	20933	872
960	20966	850
961	20997	829
962	21028	807
963	21046	785
964	21062	763
965	21080	741
966	21097	719
967	21143	698
968	21162	677
969	21180	655
970	21195	633
971	21244	611
972	21262	590
973	21278	568
974	21295	546
975	21326	524
976	21358	502
977	21404	481
978	21419	459
979	21452	437
980	21471	415
981	21488	393
982	21506	371
983	21522	349
984	21539	328
985	21556	306
986	21573	284
987	21590	262
988	21605	240
989	21622	218
990	21642	196
991	21665	174
992	21684	152
993	21703	131
994	21722	109
995	21739	87
996	21758	65
997	21775	43
998	21793	21
999	21811	0
